data_size, threads, time
20000, 8, 0.152194
20000, 8, 0.151657
20000, 8, 0.15019
20000, 8, 0.148537
20000, 8, 0.151971
20000, 8, 0.150778
20000, 8, 0.149001
20000, 8, 0.156595
20000, 8, 0.150595
20000, 8, 0.147102
20000, 8, 0.146638
20000, 8, 0.15539
20000, 8, 0.144962
20000, 8, 0.144688
20000, 8, 0.148191
20000, 8, 0.149463
20000, 8, 0.152917
20000, 8, 0.147803
20000, 8, 0.153424
20000, 8, 0.153003
20000, 8, 0.154317
20000, 8, 0.147266
20000, 8, 0.15014
20000, 8, 0.152771
20000, 8, 0.146278
20000, 8, 0.145815
20000, 16, 0.0851078
20000, 16, 0.0921634
20000, 16, 0.0887168
20000, 16, 0.0876797
20000, 16, 0.0880112
20000, 16, 0.0886965
20000, 16, 0.0878355
20000, 16, 0.0854067
20000, 16, 0.0880912
20000, 16, 0.0919374
20000, 16, 0.0829598
20000, 16, 0.0825494
20000, 16, 0.0849537
20000, 16, 0.0885697
20000, 16, 0.086062
20000, 16, 0.0915594
20000, 16, 0.0923776
20000, 16, 0.0854716
20000, 16, 0.083908
20000, 16, 0.0875575
20000, 16, 0.0851983
20000, 16, 0.0857979
20000, 16, 0.0810358
20000, 16, 0.0860918
20000, 16, 0.0913189
20000, 16, 0.0893659
20000, 16, 0.088525
20000, 16, 0.0928645
20000, 16, 0.0910616
20000, 16, 0.0888236
20000, 16, 0.093674
20000, 16, 0.0920687
20000, 16, 0.0882555
20000, 16, 0.087006
20000, 16, 0.0875383
20000, 16, 0.0870693
20000, 16, 0.0870009
20000, 16, 0.0838012
20000, 16, 0.0838379
20000, 16, 0.086043
20000, 16, 0.0878706
20000, 16, 0.0850506
20000, 16, 0.0817047
20000, 16, 0.0904435
20000, 16, 0.0883593
20000, 16, 0.0861306
20000, 16, 0.0865893
20000, 16, 0.085015
20000, 16, 0.0873113
20000, 16, 0.0852429
20000, 16, 0.0822263
20000, 16, 0.0841513
20000, 16, 0.0882712
20000, 16, 0.0850544
20000, 16, 0.08526
20000, 16, 0.0830843
20000, 16, 0.0852896
20000, 16, 0.0900444
20000, 16, 0.085897
20000, 16, 0.082325
20000, 16, 0.0817469
20000, 16, 0.0872299
20000, 16, 0.0865466
20000, 16, 0.0813001
20000, 16, 0.0836832
20000, 16, 0.0832403
20000, 16, 0.0869292
20000, 16, 0.0839374
20000, 16, 0.0813474
20000, 16, 0.0808379
20000, 16, 0.0875062
20000, 16, 0.0834908
20000, 16, 0.0843664
20000, 16, 0.082631
20000, 16, 0.0843641
20000, 16, 0.0836619
20000, 16, 0.087761
20000, 16, 0.087849
20000, 16, 0.0884122
20000, 16, 0.0854031
20000, 16, 0.0825258
20000, 16, 0.0850925
20000, 16, 0.0856396
20000, 16, 0.0832346
20000, 16, 0.0871867
20000, 16, 0.0870737
20000, 16, 0.0834876
20000, 16, 0.0822889
20000, 16, 0.0836402
20000, 16, 0.0839408
20000, 16, 0.0823327
20000, 16, 0.0811178
20000, 16, 0.0790583
20000, 16, 0.08317
20000, 16, 0.0858752
20000, 16, 0.0833483
20000, 16, 0.0822286
20000, 16, 0.0836092
20000, 16, 0.0822886
20000, 16, 0.082107
20000, 20, 0.0688551
20000, 20, 0.0699756
20000, 20, 0.0696368
20000, 20, 0.0711341
20000, 20, 0.0730819
20000, 20, 0.0757496
20000, 20, 0.0780839
20000, 20, 0.0731623
20000, 20, 0.0745466
20000, 20, 0.0714463
20000, 20, 0.0742347
20000, 20, 0.071239
20000, 20, 0.0722122
20000, 20, 0.070648
20000, 20, 0.0669723
20000, 20, 0.0700439
20000, 20, 0.0725877
20000, 20, 0.0703821
20000, 20, 0.070608
20000, 20, 0.0665895
20000, 20, 0.0704307
20000, 20, 0.070669
20000, 20, 0.0758825
20000, 20, 0.0722565
20000, 20, 0.0733416
20000, 20, 0.0676506
20000, 20, 0.065256
20000, 20, 0.0688671
20000, 20, 0.0665946
20000, 20, 0.0752784
20000, 20, 0.0714789
20000, 20, 0.0737106
20000, 20, 0.0698076
20000, 20, 0.0798476
