threads, chunks, time
2, 100, 15.9315
2, 100, 16.2704
2, 100, 15.8318
2, 100, 15.7499
2, 100, 15.7438
2, 100, 15.7743
2, 100, 15.7416
2, 100, 15.7687
2, 100, 15.7914
2, 100, 15.8319
2, 100, 15.9514
2, 100, 16.0018
2, 100, 15.9673
2, 100, 16.1129
2, 100, 16.0157
2, 250, 16.1442
2, 250, 16.1412
2, 250, 16.049
2, 250, 16.0975
2, 250, 16.1022
2, 250, 16.137
2, 250, 16.0264
2, 250, 16.0035
2, 250, 15.9761
2, 250, 16.3055
2, 250, 16.4039
2, 250, 16.0685
2, 250, 16.1753
2, 250, 16.0919
2, 250, 16.0651
2, 250, 16.033
2, 250, 15.9661
2, 250, 16.0431
2, 250, 16.4178
2, 250, 16.2173
2, 250, 16.1566
2, 250, 16.0897
2, 250, 16.0907
2, 250, 15.9973
2, 250, 16.0402
2, 250, 15.9386
2, 250, 16.0349
2, 250, 16.1988
2, 250, 16.2443
2, 250, 16.3733
2, 250, 16.3729
2, 250, 16.401
2, 250, 16.3881
2, 250, 16.2015
2, 250, 16.0588
2, 250, 16.0193
2, 250, 16.0145
2, 250, 15.9788
2, 250, 15.9872
2, 250, 15.9293
2, 250, 16.3363
2, 250, 16.4351
2, 250, 15.9842
2, 250, 15.9542
2, 250, 15.9699
2, 250, 16.0443
2, 250, 16.1275
2, 250, 16.06
2, 250, 16.0379
2, 250, 16.1639
2, 250, 15.963
2, 250, 16.5188
2, 250, 16.5395
2, 250, 16.2327
2, 250, 16.0322
2, 250, 15.9564
2, 250, 15.9914
2, 250, 16.0153
2, 250, 16.0631
2, 250, 15.9311
2, 250, 15.9909
2, 250, 15.8989
2, 250, 16.3967
2, 250, 15.9881
2, 250, 16.0139
2, 250, 16.0623
2, 250, 15.9748
2, 250, 15.9863
2, 250, 15.9959
2, 250, 16.0281
2, 250, 16.0035
2, 250, 16.6862
2, 250, 16.0977
2, 250, 16.017
2, 250, 16.0665
2, 250, 16.2448
2, 250, 16.1743
2, 250, 16.449
2, 250, 16.2967
2, 250, 16.2432
2, 250, 16.2763
2, 250, 16.4595
2, 250, 16.1419
2, 250, 16.1271
2, 250, 16.2034
2, 250, 16.1343
2, 250, 16.3866
2, 250, 16.6215
2, 250, 16.8481
2, 250, 16.643
2, 250, 16.7064
2, 250, 16.7847
2, 250, 16.4657
2, 250, 16.7083
2, 250, 16.8265
2, 250, 16.632
2, 250, 16.6833
2, 250, 16.6854
2, 250, 16.034
2, 250, 15.997
4, 1, 8.34316
4, 1, 8.43476
4, 1, 8.34004
4, 1, 8.50265
4, 1, 8.4011
4, 1, 8.61234
4, 1, 8.34399
4, 1, 8.38842
4, 1, 8.35656
4, 1, 8.17268
4, 1, 8.17116
4, 1, 8.18251
4, 1, 8.19285
4, 1, 8.2407
4, 1, 8.19013
4, 1, 8.19777
4, 1, 8.16225
4, 1, 8.13808
4, 1, 8.17128
4, 1, 8.15722
4, 1, 8.13142
4, 1, 8.20547
4, 1, 8.26016
4, 1, 8.1258
4, 1, 8.14819
4, 1, 8.24648
4, 1, 8.26225
4, 1, 8.11293
4, 1, 8.13216
4, 1, 8.12535
4, 1, 8.1515
4, 1, 8.15014
4, 1, 8.13731
4, 1, 8.21354
4, 1, 8.17176
4, 1, 8.15109
4, 1, 8.27107
4, 1, 8.14103
4, 1, 8.10451
4, 1, 8.13717
4, 1, 8.15272
4, 1, 8.1825
4, 1, 8.14123
4, 1, 8.1748
4, 1, 8.11493
4, 1, 8.12452
4, 1, 8.10764
4, 1, 8.13531
4, 1, 8.215
4, 1, 8.22744
4, 1, 8.32994
4, 1, 8.46602
4, 1, 8.50789
4, 1, 8.30751
4, 1, 8.30522
4, 1, 8.28458
4, 1, 8.29644
4, 1, 8.34025
4, 1, 8.4406
4, 1, 8.48637
4, 1, 8.13966
4, 1, 8.16485
4, 1, 8.19653
4, 1, 8.15854
4, 1, 8.33875
4, 1, 8.12383
4, 1, 8.1334
4, 1, 8.15949
4, 1, 8.13383
4, 1, 8.21275
4, 1, 8.14805
4, 1, 8.18979
4, 1, 8.11045
4, 1, 8.11559
4, 1, 8.11294
4, 1, 8.10414
4, 1, 8.1244
4, 1, 8.09047
4, 1, 8.1281
4, 1, 8.10678
4, 1, 8.13401
4, 1, 8.14499
4, 1, 8.19963
4, 1, 8.17719
4, 1, 8.15582
4, 1, 8.1542
4, 1, 8.16865
4, 1, 8.13914
4, 1, 8.15319
4, 1, 8.13929
4, 1, 8.14755
4, 1, 8.14147
4, 1, 8.15133
4, 1, 8.15604
4, 1, 8.18182
4, 1, 8.2412
4, 1, 8.19007
4, 1, 8.20227
4, 1, 8.14195
4, 1, 8.15865
4, 10, 8.02029
4, 10, 8.02012
4, 10, 8.00787
4, 10, 8.02839
4, 10, 8.01858
4, 10, 8.04934
4, 10, 8.05476
4, 10, 8.0194
4, 10, 8.04259
4, 10, 8.02171
4, 10, 8.05982
4, 10, 7.99125
4, 10, 8.01659
4, 10, 8.00443
4, 10, 8.02397
4, 10, 8.03077
4, 10, 8.06775
4, 10, 8.03403
4, 10, 8.07084
4, 10, 8.04084
4, 10, 8.05888
4, 10, 8.03798
4, 10, 8.03181
4, 10, 8.02495
4, 10, 8.01253
4, 10, 8.0049
4, 10, 8.05163
4, 10, 8.0584
4, 10, 8.04547
4, 10, 8.03429
4, 10, 8.02612
4, 10, 8.06382
4, 10, 8.00886
4, 10, 8.05139
4, 10, 8.03599
4, 10, 8.02893
4, 10, 8.00749
4, 10, 7.99259
4, 10, 8.00797
4, 10, 8.0113
4, 10, 8.02075
4, 10, 8.00138
4, 10, 8.01668
4, 10, 7.99193
4, 10, 7.9866
4, 10, 7.99524
4, 10, 8.01375
4, 10, 7.98891
4, 10, 8.01172
4, 10, 8.00357
4, 10, 8.01268
4, 10, 8.01442
4, 10, 8.01196
4, 10, 8.02643
4, 10, 8.04211
4, 10, 8.05202
4, 10, 8.05373
4, 10, 8.01359
4, 10, 8.02138
4, 10, 8.01236
4, 10, 7.99842
4, 10, 8.0077
4, 10, 8.01193
4, 10, 7.99977
4, 10, 8.02244
4, 10, 7.9939
4, 10, 8.03769
4, 10, 8.00759
4, 10, 8.00828
4, 10, 8.03955
4, 10, 8.00081
4, 10, 8.03771
4, 10, 8.00298
4, 10, 8.03768
4, 10, 8.01528
4, 10, 8.00355
4, 10, 8.021
4, 10, 8.01623
4, 10, 7.99666
4, 10, 8.01799
4, 10, 8.00374
4, 10, 7.98388
4, 10, 7.98339
4, 10, 7.98864
4, 10, 8.02573
4, 10, 7.98678
4, 10, 8.01774
4, 10, 7.9953
4, 10, 8.01349
