threads, chunks, time
2, 100, 14.9728
2, 100, 14.9993
2, 100, 14.9747
2, 100, 15.0149
2, 100, 15.5794
2, 100, 15.5331
2, 100, 15.5177
2, 100, 15.6526
2, 100, 15.2289
2, 100, 15.0049
2, 100, 15.0198
2, 100, 15.0317
2, 100, 14.9695
2, 250, 14.9543
2, 250, 14.9614
2, 250, 14.9791
2, 250, 14.9383
2, 250, 14.9198
2, 250, 14.9149
2, 250, 14.9397
2, 250, 14.9385
2, 250, 14.8324
2, 250, 14.9646
2, 250, 14.9238
2, 250, 14.9541
2, 250, 14.8244
2, 250, 14.8756
2, 250, 14.9057
2, 250, 14.8657
2, 250, 14.8253
2, 250, 14.8577
2, 250, 14.8387
2, 250, 14.8459
2, 250, 14.8252
2, 250, 14.8588
2, 250, 14.8736
2, 250, 14.8288
2, 250, 14.8616
2, 250, 14.932
2, 250, 14.859
2, 250, 14.9131
2, 250, 14.9604
2, 250, 14.9368
2, 250, 15.0009
2, 250, 14.9762
2, 250, 15.0235
2, 250, 15.1354
2, 250, 14.9981
2, 250, 15.0611
2, 250, 15.0604
2, 250, 15.1618
2, 250, 15.0435
2, 250, 15.1434
2, 250, 15.0732
2, 250, 14.9472
2, 250, 15.0273
2, 250, 15.0464
2, 250, 14.9391
2, 250, 14.9381
2, 250, 14.9203
2, 250, 14.9345
2, 250, 14.8929
2, 250, 14.8198
2, 250, 14.8021
2, 250, 14.8518
2, 250, 14.8377
2, 250, 14.8797
2, 250, 14.8492
2, 250, 14.8921
2, 250, 14.8441
2, 250, 14.8874
2, 250, 14.8357
2, 250, 14.9043
2, 250, 14.8253
2, 250, 14.8923
2, 250, 14.8268
2, 250, 14.8539
2, 250, 14.9331
2, 250, 14.9098
2, 250, 14.8532
2, 250, 14.9367
2, 250, 14.9267
2, 250, 14.9262
2, 250, 14.9061
2, 250, 14.9038
2, 250, 14.94
2, 250, 14.8964
2, 250, 14.8815
2, 250, 14.9317
2, 250, 14.9042
2, 250, 14.9454
2, 250, 14.8956
2, 250, 14.9112
2, 250, 14.9316
2, 250, 14.8792
2, 250, 14.9331
2, 250, 14.9438
2, 250, 14.9323
2, 250, 14.8549
2, 250, 14.9027
2, 250, 14.9296
2, 250, 14.902
2, 250, 14.8906
2, 250, 14.8872
2, 250, 14.9193
2, 250, 15.0152
2, 250, 15.0076
2, 250, 14.9006
2, 250, 14.8901
2, 250, 14.9011
2, 250, 14.9121
2, 250, 14.9054
2, 250, 15.0121
4, 1, 7.83394
4, 1, 7.89371
4, 1, 8.28271
4, 1, 8.24175
4, 1, 8.07385
4, 1, 8.11177
4, 1, 8.05881
4, 1, 7.88206
4, 1, 7.88406
4, 1, 7.84949
4, 1, 7.8695
4, 1, 7.86342
4, 1, 7.89515
4, 1, 7.87157
4, 1, 7.88425
4, 1, 7.88118
4, 1, 7.89461
4, 1, 8.00116
4, 1, 7.9017
4, 1, 8.01783
4, 1, 7.90505
